Data_Hora,Frequencia_MHz,Caminho_Audio,Texto_Transcrito
2026-05-25 22:18:36,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h18m07s.wav,70 e você nesta braxe Eu migra o amor de dispose uma Luke você costuma Почему Bristol Ofdzie-te de amare между Cra TALI Eu digo que eu tenho a sabа do meu tempo
2026-05-25 22:19:34,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h19m25s.wav,Eles são muito tempo trothais Seетimos mais problemas A dying clock é necessário Você vai me... Você vai explorar me pedir pra voltar Eu vou dizer Essa vez não vai dar
2026-05-25 22:20:56,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h20m43s.wav,Eu fui gostar de você De carinha amor pra valer Deitando amor mas você queria só prazer O Cezão E brincou com as coisas mais séries que eu fiz quando eu tempê Com vocês sem feliz Era tão forte a enusão Que prendia o meu coração Você matou a enusão Liberto ao meu coração Hoje é você que vai ter que jorar O located sug October
2026-05-25 22:22:33,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h22m01s.wav,Você vai ver Você vai implorar me pedir pra vo...
2026-05-25 22:23:24,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h23m19s.wav,"Eu vou dizer da saber-lhe não vai dar Eu fui gostar de você De brincar em minha multa-valê Deitam pra amor, mas você Queria só prazer O seu mundo E brincou com as coisas mais séries que eu fiz quando entendi Como você se fevei Era tão forte usando Que prendia o meu coração O céu mata o e-muzão, o liberto amém para o seu Ojá vos é que vai ter que jorar, ou você vai ver Ojá vos é que vai ter que jorar, ou você vai ver"
2026-05-25 22:24:43,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h24m37s.wav,"O Céu, vai ver... O Céu, vai ver... O Céu, vai ver... Rádio Senado, Macapá, 93,9 Ah, e é que saudade tem o da Bahia Ah, e se escutar se o que mamãe dizia Ei, não vai deixar a sua mãe a frita A gente faz o que coração dita Mas esse mundo é feito de maldade de usar Ah, o que se escutar se hoje não sofriga Ah, e esta saudade de entre o meu peiro Ah, e que tinha saudade a ter algo um desejo E eu pelo menos mereço direito E ter alguém que eu possa me confessar Ah, e aqui saudade a tu me dá pra..."
2026-05-25 22:26:28,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h25m55s.wav,"E se ter saudade a ter algum desdeito Eu pelo menos mereço direito Que ter alguém com quem eu possa desligam, peça Bom, enascino no lugar E deixa como só com um momento feliz Que teve quem desaparece Desentra todo mundo que ninguém diz Vejam que sento baçam E vejam como só com um pobre coração Pobre de quem acredita Na<|fa|>"
2026-05-25 22:27:31,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h27m13s.wav,"Emcerramos o bloco com Dorival Caíme, saudades da Bahia. Rosa Passos, você vai ver João Gilberto, S. O Underfall. Essa é a Rádio Semado. O Brasil é a noite e vinte e seis. Nesta semana, no Escala Brasileira, o guitarrista de My Oliver. Às vezes não mostrou-me, mas eu tenho uma paixão pela música. Seja lá um jazz, seja um pop, pop, um heavy metal, um dozo, um gosto de música. Eu gosto de ouvir music. Escala Brasileira, quinta, vinte, três horas na radio Senado. ENRIVAUO NENriers Ltd Nicolás"
2026-05-25 22:28:36,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h28m31s.wav,"e na fila 3 da madrugada. No Brasil ainda falta a representação política para mulheres indígenas e pessoas nígras, mas para transformar as coisas a gente precisa se engajar. Em fórmese, emvolva-se, candidátice. Seja a transformação que você quer na política. Mais candidaturas femininas indígenas e negras por falessem a democracia e reduzem a desigualdade. Justiça Eleitoral, a justiça, a democracia. Abrindo bloco, cartola. Se deve haver o perdão para mim, se não nem sei qual será o meu dia."
2026-05-25 22:29:54,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h29m49s.wav,"Para ter uma companheia até promessa a seguir Conseguir um grande amor, mas eu não fui feliz E com raiz, boapar os céus, os braços do lepanho Não blasfemei Hoje todo isso é um contra mim Sim Tinha que haver o perdão Para mim Se não nem sei qual será o meu fim Para ter uma companhia Até promessas fios Consegui um grande amor Mas eu não fui feliz E com raiva para o icell Os braços levantem A escender"
2026-05-25 22:31:12,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h31m07s.wav,"E todos são contra mim Todos erram neste mundo No mais recessão Quanto maior realidade Consegue perdão Porque é que eu se dou E rei pela fé Primeiro Pássito do dissabor e do teu corpo, a humanidade terá Sim, é da ver o pertão Para mim, se não nem sei, pode ser a O meu fim Para ter uma companhia Até promessa a chave Conseguir o grande avô Mas eu não vou e ferir E gonar e va para o encerro"
2026-05-25 22:32:39,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h32m25s.wav,"Os preços levar três Plus綉 ver Hoje todos só philosophos two Depois que liso elas viram um quisito Na concepção desses sanderos O suma teveu a sua pujança Ao culpar, saci constância Emposta pelo dinheiro E o suma aqui na sua menino pobre Agora se veja de nobre O desvelho principal Onde o meu cenário me conheça a sua bruna Eu sou um bicho naquilo que eu não tenho drama Não abrica mais o carnalar Quando me ensinaria e foi a sua gana Eu sou um bicho naquilo que eu não tenho drama Não abrica mais o carnalar"
2026-05-25 22:33:50,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h33m43s.wav,"Ai, que saudade que eu tenho Mas fantasias certitinho O seu bagora é luce importado Porque andi a outra costura Com os suocos portados E o seu vista aqui maltando e a pra viver Até mesmo o rudo estirre Legerar um pra deve ver Filosavista que eu estranho Estra aqui mal Minha pra viver A dana do descrever Legerar um pra deve ver Depós que o visual Diro que sinto Na obtenição Descistanteiros O tema Desciro à sua puxança Ao por marquear ser rostância Ei, basta pelo dinheiro Eu tenho um baquina, um rinino pobre Agora, teste de nove E o destoe de principal É a talária Onde um mercenalismo ganha a sua gana E o samista que não tem grana"
2026-05-25 22:35:11,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h35m02s.wav,"Não brincar mais o carnaval Onde o leste a leste E morrer a sua dona E o seu bicho aqui não tem grana A gente vai colocar aqui com ele Não brincar mais o carnaval Ai que saudade eu tenho Das fantasias de sentir O sandagora é luxo importado, Pô, lendo de outra costura, Com os olhos bordados, E o sand está aqui naoca, Minha pra vileira, Até mesmo o desfile, E tiraram o prazer, E o sand... E o sand está aqui naoca, E a prazer, Até mesmo o desfile, Me tiraram o prazer, Eu não ia supor que, Mesmos que o visual, Nero querito! Rádio Senado, Manaus, 106,9"
2026-05-25 22:36:25,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h36m20s.wav,"A quem diga que é o turme de boca, que eu perdi a boca, que eu puxi da priga, Que eu caio do gano e que não desça a ira Que eu morri de dinheiro quando palca e droga Ah quem diga que é não ser de nada Que eu não sou de nada e não peço desculpas Que eu não tenho culpa mais Que eu pego a vera E que, durante o que, de quase me pegou Eu quero a hervota Meu corpo, uma rua Flick, a rosa pra jadeiro Eu quero a hervota Meu corpo, uma rua"
2026-05-25 22:38:02,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h37m38s.wav,"Whoa um quilo mais daquilo, um quilo menos nisso é disso que eu preciso, não é nada disso eu quero é todo mundo em buscar na voz Eu quero é poder é poder poder fregar As Kritático ag existential, Drugamente a Ru здarava"
2026-05-25 22:39:14,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h38m56s.wav,"Que é boba da forma워 M O mu Patar 200 Pena elast Breath A quem chega Que eu perdi a boca que eu puxi da fria Que eu gai no gai, que não se saiga Que eu vou ridir medo quando qual que trouxe Ah, quem diga que eu não sei de nada Que eu não sou de nada e não penso de contas"
2026-05-25 22:40:25,100.9,dados/projetos/sessao_20260525_2212/audios/audio_22h40m14s.wav,"Pega um pouco na rua Jiga pra prazer Jiga pra prazer Pega um pouco na rua Briga pra prazer Jiga pra prazer Jiga pra prazer Você ouviu o sério de o Sampaiô? Eu quero é botar meu bloco na rua, no ano Carvalho e Bé de Carvalho, visual, cartola, sim. A Rádio Senado apresenta, curta musical, a música brasileira em uma nota. O gal Costa foi uma das maiores interpreteis da música brasileira e deixou a marca de uma voz cristalina em muitos sucessos durante mais de cinco décadas de carreira."
